OBJECTID,NAME,CODE,AREA,GRID_REF,EASTING,NORTHING,LATITUDE,LONGITUDE,NAME0,STATUS,ID,FILE,AREA0,EASTING0,NORTHING0,GIS_DATE,VERSION,Shape__Area,Shape__Length,GlobalID
64,Leighton Moss,UK11035,129.652168585823,SD482749,348256.586576,474919.942319,54:10:02N,2:48:21W,,Listed,0,,129.652168585823,348256.586576,474919.942319,20031203,1,1296521.68603516,5442.25825607078,9c8a6f4e-7530-4b6e-8850-e3dc38d79e12
65,Martin Mere,UK11039,119.747309614971,SD420144,342029.906036,414490.883734,53:37:25N,2:53:19W,,Listed,0,,119.747309614971,342029.906036,414490.883734,20031203,1,1197473.09619141,5033.14411106669,01cb21b9-67ba-4caa-97b2-ce4335bfe1ac
66,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,204.505816981317,496690.541992,271668.73039,20110128,1,2045058.16977692,10870.4930592312,52dff5b1-5dd2-42aa-a86c-8d75a720445a
67,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,158.740460324943,500635.270663,280654.550401,20110128,1,1587404.60362244,7647.94331155014,e8b24a7a-f4da-4606-901f-39f9ab0b64de
68,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,141.768563797109,494866.57254,269438.98965,20110128,1,1417685.63808441,7164.7051326775,6c87cb4d-ce00-46f6-96bf-4a5278ad71ec
69,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,126.982221903238,487342.367593,262435.872166,20110128,1,1269822.21920013,7081.36449362892,a482e9cf-1f89-4e98-9ee5-231c8eefc5a9
70,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,112.955489853214,479158.892496,260117.208408,20110128,1,1129554.89836884,5790.34620825577,2292a7ba-e25a-4cc1-b980-b44814d2719b
71,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,84.3710918478618,489499.6365,264217.870085,20110128,1,843710.918487549,4036.46645268409,090a0db1-a9db-41e5-8514-15cc55490545
72,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,78.9307748666399,499992.83796,279638.960339,20110128,1,789307.748657227,4524.40345612056,b8079a1b-30c1-4fda-abd1-35e465bb85a9
73,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,75.6126461559694,494020.224759,268229.489266,20110128,1,756126.461364746,5804.22293291703,308667ca-a683-484c-bf1f-375fb227c087
74,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,63.6285773873189,492110.693423,267889.093922,20110128,1,636285.773864746,4382.8372279127,7606928b-df6d-4a0c-b2de-39262a14d400
75,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,52.4983705580034,487163.117112,262890.50092,20110128,1,524983.705513,5100.48403383303,5ab91e4f-a772-4a8d-b06d-36f8d8dac7d3
76,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,47.6992559516762,488631.890331,263696.947523,20110128,1,476992.559509277,3244.44306025762,84731f67-b2af-4b7d-bb83-b0ef31a1712b
77,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,35.891859422718,491398.133835,267200.786771,20110128,1,358918.594238281,3316.45620033446,fd461f7c-e027-43d5-a3e4-a9429f18402c
78,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,34.4422855347445,497848.016975,275188.315518,20110128,1,344422.855453491,2636.04741928006,b6f8eb4c-11db-4097-b956-1189c73a06fb
79,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,21.2795002158117,492606.124427,267764.410789,20110128,1,212795.00213623,2116.08117295247,3ff6153c-53f2-475f-91b4-22034ed4e9d4
80,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,20.1777144451578,488391.142587,264019.974371,20110128,1,201777.144378662,2542.57338155115,23130698-f4c6-4aa1-9693-a46a5bc77c3b
81,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,19.4228638667255,491034.102698,266937.621292,20110128,1,194228.638702393,2650.43889035816,9d304e6d-4c33-49f8-83a9-589ba63e0698
82,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,16.9436598926094,497389.347964,274913.413731,20110128,1,169436.599029541,1678.23807807956,8c79ecd8-89f2-42a9-96df-e65ccb9c6188
83,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,15.6412796213796,496753.618063,274093.833884,20110128,1,156412.796287537,2609.8329803986,7ee668d5-7ffe-4cf9-9e84-3c6749a734d1
84,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,13.1338121361903,497675.346307,275615.429759,20110128,1,131338.121337891,1724.72028536867,9f323b1a-1f16-48f0-8052-8855f4d09dd1
85,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,12.7073307127292,496708.254765,274789.729501,20110128,1,127073.307327271,2054.80929409523,529492f0-88e6-4e9e-be8b-ce78728e362f
86,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,11.0608533194312,495144.221932,268792.91689,20110128,1,110608.533363342,1961.98029949235,88147400-b47d-4b09-9a9c-0b6a6a3ebe4d
87,Upper Nene Valley Gravel Pits,UK11083,1357.67723306,SP971720,497198.8857,272094.1461,52:20:17N,0:34:29W,,Listed,0,,9.28280426089478,489232.041629,264677.334735,20110128,1,92828.0426635742,1598.20180426431,01e12d0e-1825-4922-9574-e8186b825bd0
88,Walmore Common,UK11076,53.4116947948897,SO744150,374469.334876,215035.996955,51:50:00N,2:22:18W,,Listed,0,,53.4116947948897,374469.334876,215035.996955,20030922,1,534116.948051453,3167.12267596765,30e52422-27b6-4777-8b21-2ab6b7a401da
89,North Norfolk Coast,UK11048,7862.28765112,TF891452,589174.41308,345270.147946,52:58:17N,0:49:03E,,Listed,0,,4004.11392344,580708.863847,345246.902486,20121214,1,40041139.2342377,74171.3882237544,cc466611-6b8c-4667-8501-356795be32d2
90,North Norfolk Coast,UK11048,7862.28765112,TF891452,589174.41308,345270.147946,52:58:17N,0:49:03E,,Listed,0,,3839.79904641,598061.938563,345300.239586,20121214,1,38397990.4638062,71153.5024484796,4871c7e7-c476-4f3e-8784-3370f086764a
91,North Norfolk Coast,UK11048,7862.28765112,TF891452,589174.41308,345270.147946,52:58:17N,0:49:03E,,Listed,0,,14.0356915259866,570188.059325,343784.979672,20121214,1,140356.91519165,2001.03335503274,4a7a2db0-9989-485e-99f2-79123291012d
92,North Norfolk Coast,UK11048,7862.28765112,TF891452,589174.41308,345270.147946,52:58:17N,0:49:03E,,Listed,0,,1.63785327409722,606106.406246,344022.043052,20121214,1,16378.5325927734,561.753511049366,fcbeaef8-d231-4e88-a5ca-1918a3f9968e
93,North Norfolk Coast,UK11048,7862.28765112,TF891452,589174.41308,345270.147946,52:58:17N,0:49:03E,,Listed,0,,1.59893982059551,596090.713092,345131.9583,20121214,1,15989.3981781006,902.570280191696,a377e574-6a2f-4572-ad45-ed082be0b620
94,North Norfolk Coast,UK11048,7862.28765112,TF891452,589174.41308,345270.147946,52:58:17N,0:49:03E,,Listed,0,,0.334850757710297,583987.358246,346445.086372,20121214,1,3348.50755310059,344.700283086296,89108057-2c1e-4f56-b7ae-42af2c968928
