Area,Code,2020: Number of properties at >1% risk,2020: Number of properties at >0.1% risk,2020: Number of properties at >0.01% risk,2018: Number of properties at >1% risk,2018: Number of properties at >0.1% risk,2018: Number of properties at >0.01% risk,2016: Number of properties at >1% risk,2016: Number of properties at >0.1% risk,2016: Number of properties at >0.01% risk,2020: Percentage of properties at >1% risk,2020: Percentage of properties at >0.1% risk,2020: Percentage of properties at >0.01% risk,2018: Percentage of properties at >1% risk,2018: Percentage of properties at >0.1% risk,2018: Percentage of properties at >0.01% risk,2016: Percentage of properties at >1% risk,2016: Percentage of properties at >0.1% risk,2016: Percentage of properties at >0.01% risk
North Somerset,E06000024,1748,48591,50556,1745,48544,50511,1814,48632,50606,1.4%,38.3%,39.8%,1.4%,38.2%,39.8%,1.4%,38.3%,39.9%
North Tyneside,E08000022,192,423,462,194,448,972,470,1079,1079,0.2%,0.4%,0.4%,0.2%,0.4%,0.9%,0.4%,1.0%,1.0%
North Yorkshire,E10000023,20678,36937,42326,21388,40167,46037,22085,41757,47668,4.4%,7.9%,9.0%,4.6%,8.6%,9.8%,4.7%,8.9%,10.2%
Northamptonshire,E10000021,3895,7973,9915,3962,8417,10404,4072,8638,10716,0.9%,1.9%,2.4%,1.0%,2.0%,2.5%,1.0%,2.1%,2.6%
Northumberland,E06000057,3552,6773,8096,3610,7335,8098,4056,7492,8172,1.7%,3.2%,3.8%,1.7%,3.5%,3.8%,1.9%,3.5%,3.9%
Nottingham,E06000018,4717,16043,16925,4725,16052,16934,5011,16703,17558,3.0%,10.1%,10.6%,3.0%,10.1%,10.6%,3.1%,10.5%,11.0%
Nottinghamshire,E10000024,15506,43346,44505,15541,43601,44760,15610,43610,44778,3.4%,9.6%,9.9%,3.4%,9.7%,9.9%,3.5%,9.7%,9.9%
Oldham,E08000004,1265,1819,1845,1259,1811,1837,1258,1811,1837,1.1%,1.6%,1.6%,1.1%,1.6%,1.6%,1.1%,1.6%,1.6%
Oxfordshire,E10000025,13155,18960,19473,13524,19483,19991,13536,19496,20006,3.4%,4.8%,5.0%,3.4%,5.0%,5.1%,3.5%,5.0%,5.1%
Peterborough,E06000031,3730,5670,5831,3761,5791,5967,4013,6229,6405,3.7%,5.7%,5.8%,3.8%,5.8%,6.0%,4.0%,6.2%,6.4%
Plymouth,E06000026,825,2376,2517,825,2376,2517,824,2375,2516,0.6%,1.7%,1.9%,0.6%,1.7%,1.9%,0.6%,1.7%,1.9%
Portsmouth,E06000044,4814,8729,8729,5383,21623,21623,5391,21623,21623,4.4%,7.9%,7.9%,4.9%,19.6%,19.6%,4.9%,19.6%,19.6%
Reading,E06000038,3763,5829,5983,4921,8370,8524,4969,8370,8524,4.9%,7.5%,7.7%,6.4%,10.8%,11.0%,6.4%,10.8%,11.0%
Redcar and Cleveland,E06000003,504,908,908,525,930,930,546,930,930,0.7%,1.2%,1.2%,0.7%,1.2%,1.2%,0.7%,1.2%,1.2%
Rochdale,E08000005,1466,2123,2244,1622,2242,2440,1737,2321,2440,1.4%,2.0%,2.1%,1.5%,2.1%,2.3%,1.6%,2.1%,2.3%
Rotherham,E08000018,1411,2616,2617,1411,2620,2621,1412,2621,2622,1.0%,1.9%,1.9%,1.0%,1.9%,1.9%,1.0%,1.9%,1.9%
Rutland,E06000017,156,172,172,156,172,172,171,190,190,0.6%,0.7%,0.7%,0.6%,0.7%,0.7%,0.7%,0.7%,0.7%
Windsor and Maidenhead,E06000040,9066,19672,21404,9127,19958,21969,9131,19964,21981,11.2%,24.2%,26.3%,11.2%,24.6%,27.0%,11.2%,24.6%,27.1%
