Name,Code,2020: Number of properties at >1% risk,2020: Number of properties at >0.1% risk,2020: Number of properties at >0.01% risk,2018: Number of properties at >1% risk,2018: Number of properties at >0.1% risk,2018: Number of properties at >0.01% risk,2016: Number of properties at >1% risk,2016: Number of properties at >0.1% risk,2016: Number of properties at >0.01% risk,2020: Percentage of properties at >1% risk,2020: Percentage of properties at >0.1% risk,2020: Percentage of properties at >0.01% risk,2018: Percentage of properties at >1% risk,2018: Percentage of properties at >0.1% risk,2018: Percentage of properties at >0.01% risk,2016: Percentage of properties at >1% risk,2016: Percentage of properties at >0.1% risk,2016: Percentage of properties at >0.01% risk
Gravesham District (B),E07000109,26,1751,2645,47,1773,2675,47,1773,2675,0.1%,3.5%,5.2%,0.1%,3.5%,5.3%,0.1%,3.5%,5.3%
Great Yarmouth District (B),E07000145,1072,2960,11239,1148,3335,12415,1146,3337,12415,1.8%,4.9%,18.5%,1.9%,5.5%,20.4%,1.9%,5.5%,20.4%
Greenwich London Boro,E09000011,559,1161,31584,559,1161,31584,559,1162,31584,0.4%,0.9%,24.9%,0.4%,0.9%,24.9%,0.4%,0.9%,24.9%
Guildford District (B),E07000209,2378,3893,3893,2467,3982,3982,2464,3993,3993,3.0%,4.8%,4.8%,3.1%,4.9%,4.9%,3.1%,5.0%,5.0%
Hackney London Boro,E09000012,54,2772,3610,54,2772,3610,54,2771,3610,0.0%,2.1%,2.7%,0.0%,2.1%,2.7%,0.0%,2.1%,2.7%
Halton (B),E06000006,404,905,1219,801,1479,1583,803,1479,1583,0.6%,1.4%,1.9%,1.2%,2.3%,2.5%,1.3%,2.3%,2.5%
Hambleton District,E07000164,3638,4895,4922,4027,5391,5418,4034,5412,5439,4.9%,6.6%,6.7%,5.4%,7.3%,7.3%,5.5%,7.3%,7.4%
Hammersmith and Fulham London Boro,E09000013,35,35,76049,35,35,76049,35,35,76049,0.0%,0.0%,71.7%,0.0%,0.0%,71.7%,0.0%,0.0%,71.7%
Harborough District,E07000131,451,558,558,527,731,731,544,758,759,0.8%,1.0%,1.0%,0.9%,1.3%,1.3%,1.0%,1.3%,1.3%
Haringey London Boro,E09000014,602,7771,7772,602,7771,7772,603,7771,7772,0.4%,5.8%,5.8%,0.4%,5.8%,5.8%,0.4%,5.8%,5.8%
Harlow District,E07000073,181,474,507,180,473,506,181,489,506,0.3%,0.9%,1.0%,0.3%,0.9%,1.0%,0.3%,0.9%,1.0%
Harrogate District (B),E07000165,2267,4293,4664,2438,4472,4843,2432,4462,4843,2.1%,4.0%,4.3%,2.3%,4.2%,4.5%,2.3%,4.1%,4.5%
Harrow London Boro,E09000015,1916,2821,3373,1587,2293,3294,1619,2588,3588,1.9%,2.8%,3.4%,1.6%,2.3%,3.3%,1.6%,2.6%,3.6%
Hart District,E07000089,3892,4386,4486,3897,4389,4489,4020,4593,4711,7.6%,8.5%,8.7%,7.6%,8.5%,8.7%,7.8%,8.9%,9.2%
Hartlepool (B),E06000001,1002,1780,1799,1001,1780,1799,1001,1780,1799,2.0%,3.5%,3.5%,1.9%,3.5%,3.5%,1.9%,3.5%,3.5%
Hastings District (B),E07000062,746,2032,2047,746,2032,2047,747,2032,2047,1.5%,4.0%,4.1%,1.5%,4.0%,4.1%,1.5%,4.0%,4.1%
Havant District (B),E07000090,1882,3886,3902,1925,4410,4490,2043,5232,5312,2.9%,6.1%,6.1%,3.0%,6.9%,7.0%,3.2%,8.2%,8.3%
Havering London Boro,E09000016,803,2167,5145,1110,3111,6088,1109,3112,6088,0.7%,1.8%,4.3%,0.9%,2.6%,5.1%,0.9%,2.6%,5.1%
Hertsmere District (B),E07000098,1378,1905,2021,1860,2034,2150,1859,2034,2149,2.8%,3.8%,4.1%,3.7%,4.1%,4.3%,3.7%,4.1%,4.3%
High Peak District (B),E07000037,2043,2364,2380,2051,2369,2382,2051,2369,2382,3.7%,4.3%,4.3%,3.7%,4.3%,4.3%,3.7%,4.3%,4.3%
Hillingdon London Boro,E09000017,2504,5685,5907,2523,6011,6232,2555,7165,7417,1.9%,4.3%,4.4%,1.9%,4.5%,4.7%,1.9%,5.4%,5.6%
Hinckley and Bosworth District (B),E07000132,317,365,365,317,365,365,317,365,365,0.5%,0.6%,0.6%,0.5%,0.6%,0.6%,0.5%,0.6%,0.6%
Horsham District,E07000227,518,889,889,620,991,991,615,991,991,0.6%,1.1%,1.1%,0.7%,1.2%,1.2%,0.7%,1.2%,1.2%
Hounslow London Boro,E09000018,609,2212,20909,609,2212,20909,609,2212,20909,0.5%,1.7%,16.3%,0.5%,1.7%,16.3%,0.5%,1.7%,16.3%
Huntingdonshire District,E07000011,7483,12082,16559,7492,12100,16577,9909,16348,20954,6.9%,11.2%,15.3%,6.9%,11.2%,15.3%,9.2%,15.1%,19.4%
Hyndburn District (B),E07000120,775,1702,1844,774,1696,1838,774,1696,1838,1.7%,3.8%,4.1%,1.7%,3.7%,4.1%,1.7%,3.7%,4.1%
Ipswich District (B),E07000202,63,4622,4839,63,4551,4768,63,4546,4768,0.1%,6.6%,6.9%,0.1%,6.5%,6.8%,0.1%,6.4%,6.8%
Isle of Wight,E06000046,2110,3329,3333,2117,3338,3342,2120,3338,3342,2.3%,3.6%,3.6%,2.3%,3.6%,3.6%,2.3%,3.6%,3.6%
Isles of Scilly,E06000053,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Islington London Boro,E09000019,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Kensington and Chelsea London Boro,E09000020,15,15,5779,15,15,5779,15,15,5779,0.0%,0.0%,5.5%,0.0%,0.0%,5.5%,0.0%,0.0%,5.5%
Kettering District (B),E07000153,282,398,398,282,398,398,283,398,398,0.5%,0.7%,0.7%,0.5%,0.7%,0.7%,0.5%,0.7%,0.7%
King's Lynn and West Norfolk District (B),E07000146,19379,28435,32124,21211,32020,36017,21275,32107,36243,18.0%,26.4%,29.8%,19.7%,29.7%,33.4%,19.7%,29.8%,33.6%
Kingston upon Thames London Boro,E09000021,5656,9415,9415,5673,9509,9509,5660,9509,9509,7.0%,11.7%,11.7%,7.0%,11.8%,11.8%,7.0%,11.8%,11.8%
Kirklees District (B),E08000034,7844,12711,12727,7843,12713,12729,7894,12735,12750,3.5%,5.6%,5.6%,3.5%,5.6%,5.6%,3.5%,5.6%,5.6%
Knowsley District (B),E08000011,321,394,405,578,678,678,579,678,678,0.4%,0.5%,0.5%,0.8%,0.9%,0.9%,0.8%,0.9%,0.9%
Lambeth London Boro,E09000022,895,1124,25841,895,1118,25835,894,1118,25835,0.6%,0.7%,16.5%,0.6%,0.7%,16.5%,0.6%,0.7%,16.5%
Lancaster District (B),E07000121,2708,11678,13765,2821,11847,13937,2864,11902,13990,3.1%,13.6%,16.0%,3.3%,13.8%,16.2%,3.3%,13.8%,16.3%
Leeds District (B),E08000035,10939,14888,15075,11483,16204,16391,12000,16369,16475,2.6%,3.5%,3.6%,2.7%,3.8%,3.9%,2.8%,3.9%,3.9%
Lewes District,E07000063,1831,4700,4700,1830,4700,4700,1808,4700,4700,3.2%,8.3%,8.3%,3.2%,8.3%,8.3%,3.2%,8.3%,8.3%
Lewisham London Boro,E09000023,4069,6266,22952,4069,6266,22952,4060,6269,22952,2.8%,4.4%,16.0%,2.8%,4.4%,16.0%,2.8%,4.4%,16.0%
Lichfield District,E07000194,1129,1517,1619,1129,1517,1619,1128,1517,1619,1.9%,2.6%,2.8%,1.9%,2.6%,2.8%,1.9%,2.6%,2.8%
Lincoln District (B),E07000138,2501,10662,10688,2752,11303,11329,2749,11302,11329,4.4%,18.6%,18.7%,4.8%,19.8%,19.8%,4.8%,19.8%,19.8%
Liverpool District (B),E08000012,1795,3031,3043,174,1399,1411,802,2213,3212,0.7%,1.1%,1.1%,0.1%,0.5%,0.5%,0.3%,0.8%,1.2%
Luton (B),E06000032,1085,1510,1510,1085,1510,1510,1097,1510,1510,1.2%,1.6%,1.6%,1.2%,1.6%,1.6%,1.2%,1.6%,1.6%
