FID,CTYUA24CD,CTYUA24NM,CTYUA24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
76,E08000013,St. Helens, ,353413,395992,-2.70309,53.45862,136390518.131981,75033.3662590817,03c8c2dd-32f5-4c80-a796-2174e111dc8a
77,E08000014,Sefton, ,334282,398835,-2.99177,53.48213,156562804.919746,125721.455263543,f46b76ab-ac06-425a-89cc-6f733951eafd
78,E08000015,Wirral, ,329109,386965,-3.06703,53.37478,160873154.45472,126186.994974795,d1281365-e3ad-494e-8349-2a1d05504803
79,E08000016,Barnsley, ,429979,403327,-1.54926,53.52577,329146297.383224,123636.326386118,3fd58565-045d-489b-b0e2-be4cc2cac7f6
80,E08000017,Doncaster, ,459167,403733,-1.10895,53.52696,568005734.802734,168680.396858655,78ad03be-9e7a-4b38-8ce3-27d6e7b6d6e2
81,E08000018,Rotherham, ,447542,388980,-1.28651,53.39554,286460759.56369,103586.240662406,71150196-77ce-4d6a-a639-b05ac0b33b38
82,E08000019,Sheffield, ,430511,389736,-1.54255,53.40359,367844821.162354,129228.083093625,d4b8a3ed-c4f4-40d9-8c92-9c8a08939a07
83,E08000021,Newcastle upon Tyne, ,422287,569661,-1.65297,55.021,113433796.5009,64350.2434570067,75cdf941-548a-472a-a2d3-8964d2f9e8b5
84,E08000022,North Tyneside, ,431485,570602,-1.50901,55.02896,82401390.3757172,61296.5787479676,8035d7f4-6409-4801-905d-510c4040d901
85,E08000023,South Tyneside, ,435505,564057,-1.44694,54.96988,64458137.3692474,48427.5667707015,dfafa18d-8bbd-4ce4-b600-027c26943818
86,E08000024,Sunderland, ,436455,551514,-1.43368,54.85711,137282469.824036,97333.6023216429,e7a9d361-d80d-428e-b7c5-16182457f959
87,E08000025,Birmingham, ,408150,287352,-1.88141,52.48404,267774763.194458,104068.774642879,86bf28ed-ffdf-4232-bf79-ec174ac3ad3f
88,E08000026,Coventry, ,432809,279689,-1.51905,52.41424,98627749.4845886,53054.2723148556,26f2fa8e-2ee0-4589-8e23-486c61675c35
89,E08000027,Dudley, ,393191,288584,-2.10171,52.49514,97944838.1296616,72594.7542916763,5c708c23-7b93-4951-9fcc-c6af99b7e3fe
90,E08000028,Sandwell, ,399573,290764,-2.00772,52.51478,85594077.7802429,57936.9298735916,072d7999-f097-4df1-a570-41fc658959b7
91,E08000029,Solihull, ,419434,281483,-1.71559,52.431,178308124.732689,98639.3932719792,81fab67f-e693-4c70-92fd-24b0c8d538d8
92,E08000030,Walsall, ,402099,300807,-1.97043,52.60506,104034699.597565,58633.9160242416,4e145be7-cc02-49bd-95b0-664bb361e5c5
93,E08000031,Wolverhampton, ,391463,300016,-2.12746,52.59788,69458147.0028839,54870.6728576204,bfe5a876-5a91-427b-bc8f-f74b491588ec
94,E08000032,Bradford, ,408395,438626,-1.8739,53.84383,366365248.427429,131638.246374174,fcfb03af-5101-4078-b774-3c11d3f76dfe
95,E08000033,Calderdale, ,402618,424895,-1.96181,53.72047,364004528.160172,105480.847217978,b845a4dd-b47e-45aa-9e25-3a8a9b332179
96,E08000034,Kirklees, ,414586,416223,-1.78085,53.64233,408496913.982056,121475.526843802,a2ad7737-9498-4644-ab00-1ea6e2a3addf
97,E08000035,Leeds, ,432528,436384,-1.50736,53.82273,551765365.885193,156666.277179165,ec283fef-dbc9-4fda-8bf2-ed4f21a99a7e
98,E08000036,Wakefield, ,438367,418231,-1.42091,53.65918,338607122.446335,106084.872617087,dc493059-12e5-4a29-bdeb-ac1110a12c56
