Constituency,Code,2020: Number of properties at >1% risk,2020: Number of properties at >0.1% risk,2020: Number of properties at >0.01% risk,2018: Number of properties at >1% risk,2018: Number of properties at >0.1% risk,2018: Number of properties at >0.01% risk,2016: Number of properties at >1% risk,2016: Number of properties at >0.1% risk,2016: Number of properties at >0.01% risk,2020: Percentage of properties at >1% risk,2020: Percentage of properties at >0.1% risk,2020: Percentage of properties at >0.01% risk,2018: Percentage of properties at >1% risk,2018: Percentage of properties at >0.1% risk,2018: Percentage of properties at >0.01% risk,2016: Percentage of properties at >1% risk,2016: Percentage of properties at >0.1% risk,2016: Percentage of properties at >0.01% risk
Beverley and Holderness Co Const,E14000556,7273,17174,17296,7273,17174,17296,7273,17177,17296,9.8%,23.2%,23.4%,9.8%,23.2%,23.4%,9.8%,23.2%,23.4%
Bexhill and Battle Co Const,E14000557,796,3445,3460,796,3445,3460,800,3471,3486,1.1%,4.9%,4.9%,1.1%,4.9%,4.9%,1.1%,4.9%,4.9%
Bexleyheath and Crayford Boro Const,E14000558,230,291,2805,232,298,2822,232,298,2822,0.6%,0.7%,6.9%,0.6%,0.7%,6.9%,0.6%,0.7%,6.9%
Birkenhead Boro Const,E14000559,417,515,532,348,429,446,348,429,446,0.8%,1.0%,1.1%,0.7%,0.9%,0.9%,0.7%,0.9%,0.9%
"Birmingham, Edgbaston Boro Const",E14000560,1205,1256,1256,1205,1256,1256,1205,1256,1256,2.3%,2.4%,2.4%,2.3%,2.4%,2.4%,2.3%,2.4%,2.4%
"Birmingham, Erdington Boro Const",E14000561,120,1320,2064,120,1320,2064,120,1315,2064,0.2%,2.7%,4.3%,0.2%,2.7%,4.3%,0.2%,2.7%,4.3%
"Birmingham, Hall Green Boro Const",E14000562,1104,1427,1427,1111,1427,1427,1111,1427,1427,2.3%,2.9%,2.9%,2.3%,2.9%,2.9%,2.3%,2.9%,2.9%
"Birmingham, Hodge Hill Boro Const",E14000563,1325,1630,1630,1325,1630,1630,1325,1630,1630,2.9%,3.6%,3.6%,2.9%,3.6%,3.6%,2.9%,3.6%,3.6%
"Birmingham, Ladywood Boro Const",E14000564,1500,2238,2238,1500,2238,2238,1505,2238,2238,1.9%,2.8%,2.8%,1.9%,2.8%,2.8%,1.9%,2.8%,2.8%
"Birmingham, Northfield Boro Const",E14000565,692,747,747,692,747,747,692,747,747,1.4%,1.5%,1.5%,1.4%,1.5%,1.5%,1.4%,1.5%,1.5%
